date,value
02.04.20,6800.50
01.04.20,6638.50
31.03.20,6412.50
30.03.20,6391.00
29.03.20,5890.40
28.03.20,6233.70
27.03.20,6373.40
26.03.20,6725.10
25.03.20,6678.90
24.03.20,6744.60
23.03.20,6468.90
22.03.20,5822.10
21.03.20,6186.20
20.03.20,6205.30
19.03.20,6172.00
18.03.20,5361.40
17.03.20,5261.10
16.03.20,5030.00
15.03.20,5366.30
14.03.20,5182.70
13.03.20,5584.30
12.03.20,4826.00
11.03.20,7935.10
10.03.20,7891.20
09.03.20,7933.00
08.03.20,8034.10
07.03.20,8887.80
06.03.20,9134.80
05.03.20,9060.30
04.03.20,8757.90
03.03.20,8761.40
02.03.20,8904.80
01.03.20,8540.00
29.02.20,8543.70
28.02.20,8697.50
27.02.20,8818.60
26.02.20,8800.30
25.02.20,9317.20
24.02.20,9662.70
23.02.20,9942.70
22.02.20,9655.70
21.02.20,9684.50
20.02.20,9602.40
19.02.20,9609.40
18.02.20,10158.40
17.02.20,9701.40
16.02.20,9932.30
15.02.20,9907.70
14.02.20,10333.00
13.02.20,10235.10
12.02.20,10317.70
11.02.20,10229.50
10.02.20,9854.10
09.02.20,10151.50
08.02.20,9895.50
07.02.20,9818.60
06.02.20,9772.00
05.02.20,9611.80
04.02.20,9193.90
03.02.20,9296.60
02.02.20,9334.90
01.02.20,9381.60
31.01.20,9349.10
30.01.20,9507.30
29.01.20,9298.90
28.01.20,9377.30
27.01.20,8866.60
26.01.20,8607.80
25.01.20,8341.60
24.01.20,8439.90
23.01.20,8405.10
22.01.20,8678.50
21.01.20,8732.60
20.01.20,8641.90
19.01.20,8706.20
18.01.20,8916.30
17.01.20,8913.10
16.01.20,8726.90
15.01.20,8818.30
14.01.20,8829.20
13.01.20,8111.40
12.01.20,8187.60
11.01.20,8024.10
10.01.20,8187.10
09.01.20,7842.40
08.01.20,8059.60
07.01.20,8155.70
06.01.20,7759.10
05.01.20,7372.50
04.01.20,7376.80
03.01.20,7343.10
02.01.20,6967.00
01.01.20,7199.80
31.12.19,7196.40
30.12.19,7261.80
29.12.19,7397.50
28.12.19,7321.50
27.12.19,7261.70
26.12.19,7210.90
25.12.19,7224.80
24.12.19,7268.30
23.12.19,7322.80
22.12.19,7495.80
21.12.19,7156.20
20.12.19,7196.40
19.12.19,7165.50
18.12.19,7276.00
17.12.19,6613.30
16.12.19,6903.50
15.12.19,7128.50
14.12.19,7080.80
13.12.19,7255.20
12.12.19,7208.00
11.12.19,7208.00
10.12.19,7235.70
09.12.19,7355.80
08.12.19,7524.40
07.12.19,7510.90
06.12.19,7530.80
05.12.19,7399.20
04.12.19,7204.40
03.12.19,7291.80
02.12.19,7298.20
01.12.19,7396.40
30.11.19,7546.60
29.11.19,7742.70
28.11.19,7426.70
27.11.19,7510.60
26.11.19,7162.80
25.11.19,7115.60
24.11.19,6924.70
23.11.19,7324.10
22.11.19,7272.50
21.11.19,7627.90
20.11.19,8099.30
19.11.19,8145.70
18.11.19,8208.40
17.11.19,8509.80
16.11.19,8497.30
15.11.19,8476.30
14.11.19,8661.20
13.11.19,8783.10
12.11.19,8812.60
11.11.19,8736.90
10.11.19,9036.80
09.11.19,8804.50
08.11.19,8778.20
07.11.19,9223.50
06.11.19,9338.90
05.11.19,9310.80
04.11.19,9396.40
03.11.19,9198.30
02.11.19,9300.60
01.11.19,9230.10
31.10.19,9152.60
30.10.19,9157.90
29.10.19,9411.30
28.10.19,9207.20
27.10.19,9529.60
26.10.19,9230.60
25.10.19,8658.30
24.10.19,7422.70
23.10.19,7477.00
22.10.19,8031.40
21.10.19,8208.20
20.10.19,8223.40
19.10.19,7957.30
18.10.19,7948.50
17.10.19,8073.30
16.10.19,8000.40
15.10.19,8167.20
14.10.19,8353.30
13.10.19,8281.50
12.10.19,8304.40
11.10.19,8267.80
10.10.19,8562.30
09.10.19,8566.70
08.10.19,8182.90
07.10.19,8198.60
06.10.19,7881.90
05.10.19,8127.30
04.10.19,8148.10
03.10.19,8226.90
02.10.19,8364.10
01.10.19,8302.70
30.09.19,8284.30
29.09.19,8049.10
28.09.19,8208.50
27.09.19,8184.90
26.09.19,8063.80
25.09.19,8432.40
24.09.19,8513.90
23.09.19,9702.20
22.09.19,10031.60
21.09.19,9993.00
20.09.19,10172.70
19.09.19,10250.50
18.09.19,10164.70
17.09.19,10195.70
16.09.19,10255.50
15.09.19,10311.50
14.09.19,10337.30
13.09.19,10342.10
12.09.19,10415.10
11.09.19,10162.50
10.09.19,10105.40
09.09.19,10309.00
08.09.19,10402.80
07.09.19,10461.10
06.09.19,10309.30
05.09.19,10566.90
04.09.19,10568.20
03.09.19,10612.30
02.09.19,10348.80
01.09.19,9729.30
31.08.19,9594.40
30.08.19,9585.40
29.08.19,9491.00
28.08.19,9729.40
27.08.19,10184.80
26.08.19,10371.80
25.08.19,10136.30
24.08.19,10131.00
23.08.19,10388.70
22.08.19,10105.00
21.08.19,10141.50
20.08.19,10752.60
19.08.19,10910.70
18.08.19,10312.70
17.08.19,10218.10
16.08.19,10335.60
15.08.19,10303.40
14.08.19,10049.40
13.08.19,10892.90
12.08.19,11394.20
11.08.19,11517.20
