date,value
2020-03-09,7933.00
2020-03-08,8034.10
2020-03-07,8887.80
2020-03-06,9134.80
2020-03-05,9060.30
2020-03-04,8757.90
2020-03-03,8761.40
2020-03-02,8904.80
2020-03-01,8540.00
2020-02-29,8543.70
2020-02-28,8697.50
2020-02-27,8818.60
2020-02-26,8800.30
2020-02-25,9317.20
2020-02-24,9662.70
2020-02-23,9942.70
2020-02-22,9655.70
2020-02-21,9684.50
2020-02-20,9602.40
2020-02-19,9609.40
2020-02-18,10158.40
2020-02-17,9701.40
2020-02-16,9932.30
2020-02-15,9907.70
2020-02-14,10333.00
2020-02-13,10235.10
2020-02-12,10317.70
2020-02-11,10229.50
2020-02-10,9854.10
2020-02-09,10151.50
2020-02-08,9895.50
2020-02-07,9818.60
2020-02-06,9772.00
2020-02-05,9611.80
2020-02-04,9193.90
2020-02-03,9296.60
2020-02-02,9334.90
2020-02-01,9381.60
2020-01-31,9349.10
2020-01-30,9507.30
2020-01-29,9298.90
2020-01-28,9377.30
2020-01-27,8866.60
2020-01-26,8607.80
2020-01-25,8341.60
2020-01-24,8439.90
2020-01-23,8405.10
2020-01-22,8678.50
2020-01-21,8732.60
2020-01-20,8641.90
2020-01-19,8706.20
2020-01-18,8916.30
2020-01-17,8913.10
2020-01-16,8726.90
2020-01-15,8818.30
2020-01-14,8829.20
2020-01-13,8111.40
2020-01-12,8187.60
2020-01-11,8024.10
2020-01-10,8187.10
2020-01-09,7842.40
2020-01-08,8059.60
2020-01-07,8155.70
2020-01-06,7759.10
2020-01-05,7372.50
2020-01-04,7376.80
2020-01-03,7343.10
2020-01-02,6967.00
2020-01-01,7199.80
2019-12-31,7196.40
2019-12-30,7261.80
2019-12-29,7397.50
2019-12-28,7321.50
2019-12-27,7261.70
2019-12-26,7210.90
2019-12-25,7224.80
2019-12-24,7268.30
2019-12-23,7322.80
2019-12-22,7495.80
2019-12-21,7156.20
2019-12-20,7196.40
2019-12-19,7165.50
2019-12-18,7276.00
2019-12-17,6613.30
2019-12-16,6903.50
2019-12-15,7128.50
2019-12-14,7080.80
2019-12-13,7255.20
2019-12-12,7208.00
2019-12-11,7208.00
2019-12-10,7235.70
2019-12-09,7355.80
2019-12-08,7524.40
2019-12-07,7510.90
2019-12-06,7530.80
2019-12-05,7399.20
2019-12-04,7204.40
2019-12-03,7291.80
2019-12-02,7298.20
2019-12-01,7396.40
2019-11-30,7546.60
2019-11-29,7742.70
2019-11-28,7426.70
2019-11-27,7510.60
2019-11-26,7162.80
2019-11-25,7115.60
2019-11-24,6924.70
2019-11-23,7324.10
2019-11-22,7272.50
2019-11-21,7627.90
2019-11-20,8099.30
2019-11-19,8145.70
2019-11-18,8208.40
2019-11-17,8509.80
2019-11-16,8497.30
2019-11-15,8476.30
2019-11-14,8661.20
2019-11-13,8783.10
2019-11-12,8812.60
2019-11-11,8736.90
2019-11-10,9036.80
2019-11-09,8804.50
2019-11-08,8778.20
2019-11-07,9223.50
2019-11-06,9338.90
2019-11-05,9310.80
2019-11-04,9396.40
2019-11-03,9198.30
2019-11-02,9300.60
2019-11-01,9230.10
2019-10-31,9152.60
2019-10-30,9157.90
2019-10-29,9411.30
2019-10-28,9207.20
2019-10-27,9529.60
2019-10-26,9230.60
2019-10-25,8658.30
2019-10-24,7422.70
2019-10-23,7477.00
2019-10-22,8031.40
2019-10-21,8208.20
2019-10-20,8223.40
2019-10-19,7957.30
2019-10-18,7948.50
2019-10-17,8073.30
2019-10-16,8000.40
2019-10-15,8167.20
2019-10-14,8353.30
2019-10-13,8281.50
2019-10-12,8304.40
2019-10-11,8267.80
2019-10-10,8562.30
2019-10-09,8566.70
2019-10-08,8182.90
2019-10-07,8198.60
2019-10-06,7881.90
2019-10-05,8127.30
2019-10-04,8148.10
2019-10-03,8226.90
2019-10-02,8364.10
2019-10-01,8302.70
2019-09-30,8284.30
2019-09-29,8049.10
2019-09-28,8208.50
2019-09-27,8184.90
2019-09-26,8063.80
2019-09-25,8432.40
2019-09-24,8513.90
2019-09-23,9702.20
2019-09-22,10031.60
2019-09-21,9993.00
2019-09-20,10172.70
2019-09-19,10250.50
2019-09-18,10164.70
2019-09-17,10195.70
2019-09-16,10255.50
2019-09-15,10311.50
2019-09-14,10337.30
2019-09-13,10342.10
2019-09-12,10415.10
2019-09-11,10162.50
2019-09-10,10105.40
2019-09-09,10309.00
2019-09-08,10402.80
2019-09-07,10461.10
2019-09-06,10309.30
2019-09-05,10566.90
2019-09-04,10568.20
2019-09-03,10612.30
2019-09-02,10348.80
2019-09-01,9729.30
2019-08-31,9594.40
2019-08-30,9585.40
2019-08-29,9491.00
2019-08-28,9729.40
2019-08-27,10184.80
2019-08-26,10371.80
2019-08-25,10136.30
2019-08-24,10131.00
2019-08-23,10388.70
2019-08-22,10105.00
2019-08-21,10141.50
2019-08-20,10752.60
2019-08-19,10910.70
2019-08-18,10312.70
2019-08-17,10218.10
2019-08-16,10335.60
2019-08-15,10303.40
2019-08-14,10049.40
2019-08-13,10892.90
2019-08-12,11394.20
2019-08-11,11517.20
2019-08-10,11314.50
2019-08-09,12089.80
2019-08-08,12191.60
2019-08-07,12013.90
2019-08-06,11480.90
2019-08-05,11816.80
2019-08-04,10934.60
2019-08-03,10815.70
2019-08-02,10520.10
2019-08-01,10380.00
2019-07-31,10082.00
2019-07-30,9580.70
2019-07-29,9580.90
2019-07-28,9727.80
2019-07-27,9492.10
2019-07-26,9831.00
2019-07-25,9945.30
2019-07-24,9804.30
2019-07-23,9888.70
2019-07-22,10412.50
2019-07-21,10714.40
2019-07-20,10826.70
2019-07-19,10571.50
2019-07-18,10651.40
2019-07-17,9723.20
2019-07-16,9424.80
2019-07-15,10845.90
2019-07-14,10200.10
2019-07-13,11364.90
2019-07-12,11762.10
2019-07-11,11342.30
2019-07-10,12110.60
2019-07-09,12541.50
2019-07-08,12252.60
2019-07-07,11415.90
2019-07-06,11268.00
2019-07-05,10970.20
2019-07-04,11163.10
2019-07-03,11900.80
2019-07-02,10835.90
2019-07-01,10616.60
2019-06-30,10818.60
2019-06-29,11906.50
2019-06-28,12409.10
2019-06-27,11287.80
2019-06-26,13063.80
2019-06-25,11809.90
2019-06-24,11046.40
2019-06-23,10897.10
2019-06-22,10721.70
2019-06-21,10179.30
2019-06-20,9517.00
2019-06-19,9255.40
2019-06-18,9080.60
2019-06-17,9318.80
2019-06-16,8962.50
2019-06-15,8812.50
2019-06-14,8656.10
2019-06-13,8219.00
2019-06-12,8133.10
2019-06-11,7888.00
2019-06-10,7987.80
2019-06-09,7635.00
2019-06-08,7901.40
2019-06-07,7985.20
2019-06-06,7784.90
2019-06-05,7779.10
2019-06-04,7685.50
2019-06-03,8124.80
2019-06-02,8728.60
2019-06-01,8545.70
2019-05-31,8558.30
2019-05-30,8271.90
2019-05-29,8647.80
2019-05-28,8716.30
2019-05-27,8760.10
2019-05-26,8630.20
2019-05-25,8027.40
2019-05-24,7970.10
2019-05-23,7852.10
2019-05-22,7635.70
2019-05-21,7930.30
2019-05-20,7965.30
2019-05-19,8157.20
2019-05-18,7262.60
2019-05-17,7359.50
2019-05-16,7871.80
2019-05-15,8164.60
2019-05-14,7994.60
2019-05-13,7806.00
2019-05-12,6984.80
2019-05-11,7190.30
2019-05-10,6386.00
2019-05-09,6191.50
2019-05-08,5990.30
2019-05-07,5849.50
2019-05-06,5745.10
2019-05-05,5774.90
2019-05-04,5830.90
2019-05-03,5766.80
2019-05-02,5493.80
2019-05-01,5384.20
2019-04-30,5320.80
2019-04-29,5235.00
2019-04-28,5302.30
2019-04-27,5265.90
2019-04-26,5298.30
2019-04-25,5209.10
2019-04-24,5415.60
2019-04-23,5511.60
2019-04-22,5346.70
2019-04-21,5243.50
2019-04-20,5290.20
2019-04-19,5241.00
2019-04-18,5264.70
2019-04-17,5208.30
2019-04-16,5180.90
2019-04-15,5032.30
2019-04-14,5134.80
2019-04-13,5051.80
2019-04-12,5054.20
2019-04-11,5022.60
2019-04-10,5307.80
2019-04-09,5158.40
2019-04-08,5245.20
2019-04-07,5173.60
2019-04-06,5046.20
2019-04-05,5010.20
2019-04-04,4902.40
2019-04-03,4968.70
2019-04-02,4859.30
2019-04-01,4145.10
2019-03-31,4102.30
2019-03-30,4111.80
2019-03-29,4102.20
2019-03-28,4025.60
2019-03-27,4041.70
